Date,Open,High,Low,Close,Volume
2025-01-02,589.3900146484375,591.1300048828125,580.5,584.6400146484375,50204000
2025-01-03,587.530029296875,592.5999755859375,586.4299926757812,591.9500122070312,37888500
2025-01-06,596.27001953125,599.7000122070312,593.5999755859375,595.3599853515625,47679400
2025-01-07,597.4199829101562,597.75,586.780029296875,588.6300048828125,60393100
2025-01-08,588.7000122070312,590.5800170898438,585.2000122070312,589.489990234375,47304700
2025-01-10,585.8800048828125,585.9500122070312,578.5499877929688,580.489990234375,73105000
2025-01-13,575.77001953125,581.75,575.3499755859375,581.3900146484375,47910100
2025-01-14,584.3599853515625,585.0,578.3499755859375,582.1900024414062,48420600
2025-01-15,590.3300170898438,593.9400024414062,589.2000122070312,592.780029296875,56900200
2025-01-16,594.1699829101562,594.3499755859375,590.9299926757812,591.6400146484375,43319700
2025-01-17,596.9600219726562,599.3599853515625,595.6099853515625,597.5800170898438,58070600
2025-01-21,600.6699829101562,603.0599975585938,598.6699829101562,603.0499877929688,42532900
2025-01-22,605.9199829101562,607.8200073242188,605.3599853515625,606.4400024414062,48196000
2025-01-23,605.7999877929688,609.75,605.52001953125,609.75,41152100
2025-01-24,609.8099975585938,610.780029296875,606.7999877929688,607.969970703125,34604700
2025-01-27,594.8099975585938,599.6900024414062,594.6400146484375,599.3699951171875,70361100
2025-01-28,600.6199951171875,605.3699951171875,597.25,604.52001953125,44433300
2025-01-29,603.719970703125,604.1300048828125,599.219970703125,601.8099975585938,37177400
2025-01-30,603.9600219726562,606.5999755859375,600.719970703125,605.0399780273438,39281300
2025-01-31,607.5,609.9600219726562,601.0499877929688,601.8200073242188,66566900
